,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Total Sugars,Includes Added Sugars,Protein,Serving Size
Orange Carrot Thimble Cake,80,2.5 g,1.5 g,0 g,less than 5 mg,95 mg,13 g,0 g,8 g,7 g,1 g,Serving Size 1 each
Grape Jelly (2 tablespoon),100,0 g,0 g,0 g,0 mg,15 mg,26 g,0 g,24 g,18 g,0 g,Serving Size 2 tablespoon
Honey (1 tablespoon),60,0 g,0 g,g,0 mg,0 mg,18 g,0 g,17 g,g,0 g,Serving Size 1 tablespoon
Pancake Syrup (2 tablespoon),100,0 g,0 g,0 g,0 mg,30 mg,26 g,0 g,15 g,15 g,0 g,Serving Size 2 tablespoon
Strawberry Preserves (2 tablespoon),100,0 g,0 g,0 g,0 mg,0 mg,25 g,0 g,23 g,17 g,0 g,Serving Size 2 tablespoon
Chocolate Chip Cookie,240,11 g,6 g,0 g,5 mg,190 mg,33 g,less than 1 g,19 g,19 g,2 g,Serving Size 2 cookie
Snickerdoodle Cookie,180,7 g,4 g,0 g,0 mg,45 mg,17 g,0 g,15 g,0 g,1 g,Serving Size 1 cookie
Belgian Waffle,250,3 g,0.5 g,0 g,0 mg,1110 mg,51 g,0 g,7 g,6 g,5 g,Serving Size 1 each
Assorted Bagels,300,2 g,0.5 g,0 g,0 mg,570 mg,60 g,2 g,6 g,4 g,11 g,Serving Size 1 each
,35,3 g,0 g,0 g,0 mg,30 mg,2 g,2 g,0 g,0 g,1 g,Serving Size 1 fl oz
Chopped Turkey Sausage,90,7 g,2 g,0 g,30 mg,280 mg,less than 1 g,0 g,0 g,0 g,7 g,Serving Size 1 patty
Diced Ham (1 ozw),35,1.5 g,0.5 g,0 g,15 mg,370 mg,less than 1 g,0 g,less than 1 g,less than 1 g,4 g,Serving Size 1 ozw
Egg Whites ( 1/4 cup),20,0 g,0 g,0 g,0 mg,70 mg,0 g,0 g,0 g,g,5 g,Serving Size 1 /4 cup
Eggs ( 1/4 cup),70,4.5 g,1.5 g,0 g,170 mg,150 mg,0 g,0 g,0 g,0 g,6 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese ( 1/4 cup),110,9 g,5 g,0 g,25 mg,180 mg,less than 1 g,0 g,0 g,0 g,6 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese (1 ozw),110,9 g,5 g,0 g,25 mg,180 mg,less than 1 g,0 g,0 g,0 g,6 g,Serving Size 1 ozw
Just Egg,80,6 g,0 g,0 g,0 mg,220 mg,less than 1 g,0 g,0 g,0 g,7 g,Serving Size 1 each
Croutons ( 1/4 cup),60,2 g,0 g,0 g,0 mg,170 mg,9 g,0 g,less than 1 g,0 g,1 g,Serving Size 1 /4 cup
Cucumber Tomato Salad,35,2 g,0 g,0 g,0 mg,130 mg,4 g,less than 1 g,3 g,less than 1 g,1 g,Serving Size 1 /2 cup
Root Vegetable Farro Salad,160,7 g,0.5 g,0 g,0 mg,220 mg,25 g,4 g,12 g,6 g,3 g,Serving Size 1 /2 cup
Balsamic Vinaigrette (2 tablespoon),60,5 g,0.5 g,0 g,0 mg,200 mg,5 g,0 g,4 g,4 g,0 g,Serving Size 2 tablespoon
Creamy Caesar Dressing (2 tablespoon),140,15 g,2.5 g,0 g,0 mg,270 mg,less than 1 g,0 g,0 g,0 g,1 g,Serving Size 2 tablespoon
Fat-Free French Dressing (2 tablespoon),35,0 g,0 g,0 g,0 mg,330 mg,9 g,less than 1 g,6 g,6 g,0 g,Serving Size 2 tablespoon
Honey Mustard Dressing (2 tablespoon),130,12 g,2 g,0 g,15 mg,160 mg,7 g,0 g,6 g,6 g,0 g,Serving Size 2 tablespoon
Lite Italian Dressing (2 tablespoon),40,3.5 g,0 g,0 g,0 mg,210 mg,2 g,0 g,2 g,2 g,0 g,Serving Size 2 tablespoon
Oil & Vinegar (2 tablespoon),180,20 g,2 g,0 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0 g,Serving Size 2 tablespoon
Ranch Dressing (2 tablespoon),10,0 g,0 g,0 g,0 mg,130 mg,1 g,0 g,less than 1 g,0 g,2 g,Serving Size 2 tablespoon
Baby Spinach (1 cup),10,0 g,0 g,0 g,0 mg,35 mg,2 g,less than 1 g,0 g,g,1 g,Serving Size 1 cup
Bacon Pieces ( 1/4 cup),140,11 g,4 g,0 g,30 mg,530 mg,1 g,0 g,1 g,1 g,9 g,Serving Size 1 /4 cup
Chopped Hard-Cooked Egg ( 1/4 cup),70,4.5 g,1.5 g,0 g,160 mg,55 mg,0 g,0 g,0 g,0 g,5 g,Serving Size 1 /4 cup
Cottage Cheese ( 1/4 cup),45,1 g,0.5 g,0 g,5 mg,170 mg,3 g,0 g,2 g,less than 1 g,7 g,Serving Size 1 /4 cup
Diced Chicken ( 1/4 cup),45,1 g,0 g,0 g,25 mg,50 mg,0 g,0 g,0 g,0 g,8 g,Serving Size 1 /4 cup
Diced Ham ( 1/4 cup),50,2 g,1 g,0 g,20 mg,560 mg,1 g,0 g,less than 1 g,less than 1 g,7 g,Serving Size 1 /4 cup
Garbanzo Beans ( 1/4 cup),70,1 g,0 g,0 g,0 mg,50 mg,11 g,2 g,0 g,0 g,4 g,Serving Size 1 /4 cup
Nonfat Strawberry Greek Yogurt ( 1/2 cup),90,0 g,0 g,0 g,less than 5 mg,70 mg,13 g,less than 1 g,11 g,8 g,9 g,Serving Size 1 /2 cup
Sunflower Seeds (1 tablespoon),50,4.5 g,0 g,g,0 mg,0 mg,2 g,less than 1 g,0 g,g,2 g,Serving Size 1 tablespoon
Tofu ( 1/2 cup),190,10 g,2.5 g,0 g,0 mg,15 mg,3 g,3 g,less than 1 g,0 g,19 g,Serving Size 1 /2 cup
Barley,310,1 g,0 g,0 g,0 mg,10 mg,66 g,9 g,less than 1 g,0 g,8 g,Serving Size 1 /2 cup
Beyond Burger®,360,15 g,5 g,0 g,0 mg,640 mg,33 g,3 g,3 g,3 g,24 g,Serving Size 1 each
Hamburger,350,19 g,7 g,1 g,60 mg,300 mg,26 g,less than 1 g,3 g,3 g,19 g,Serving Size 1 each
Turkey Burger,380,10 g,2 g,0 g,55 mg,670 mg,40 g,1 g,4 g,4 g,23 g,Serving Size 1 each
Fried Cornmeal Shrimp,120,1 g,0 g,0 g,120 mg,2140 mg,13 g,less than 1 g,0 g,0 g,14 g,Serving Size 1 /2 cup
Grilled Chicken Breast,150,4 g,1 g,0 g,85 mg,170 mg,less than 1 g,0 g,0 g,0 g,26 g,Serving Size 3 ozw
Crispy Tater Tots,100,6 g,1 g,0 g,0 mg,280 mg,13 g,1 g,less than 1 g,0 g,1 g,Serving Size 1 /2 cup
Peri Peri Chicken,480,39 g,10 g,0 g,150 mg,1170 mg,12 g,3 g,5 g,3 g,23 g,Serving Size 1 each
Jollof Rice,100,1.5 g,0 g,0 g,0 mg,55 mg,19 g,1 g,2 g,0 g,3 g,Serving Size 1/2 cup
Nigerian Beef Stew,3030,249 g,36 g,3.5 g,285 mg,2790 mg,67 g,18 g,24 g,less than 1 g,129 g,Serving Size 1 cup
Collard Greens,45,1.5 g,0 g,0 g,0 mg,135 mg,7 g,3 g,less than 1 g,0 g,3 g,Serving Size 1 /2 cup
Pikliz-Style Cabbage,30,0 g,0 g,0 g,0 mg,20 mg,7 g,2 g,3 g,0 g,1 g,Serving Size 1 /2 cup
Grilled Naan,280,10 g,1 g,0 g,0 mg,330 mg,42 g,2 g,less than 1 g,0 g,8 g,Serving Size 1 each
BBQ Chicken Pizza,320,11 g,4 g,0 g,30 mg,600 mg,41 g,2 g,8 g,6 g,17 g,Serving Size 1 /8 cut
Classic Cheese Pizza,270,9 g,3.5 g,0 g,20 mg,540 mg,35 g,2 g,3 g,0 g,13 g,Serving Size 1 /8 cut
Pepperoni Pizza,290,12 g,4.5 g,0 g,25 mg,630 mg,35 g,2 g,3 g,0 g,14 g,Serving Size 1 /8 cut
Maple Bacon Pizza,340,9 g,3 g,0 g,10 mg,480 mg,61 g,1 g,25 g,24 g,7 g,Serving Size 1 /8 cut
Antipasto Salad,100,4 g,1 g,0 g,5 mg,240 mg,13 g,1 g,1 g,0 g,4 g,Serving Size 1 /2 cup
Garlic Herb Breadstick,170,6 g,1 g,0 g,0 mg,250 mg,25 g,0 g,1 g,1 g,4 g,Serving Size 1 each
Buffalo Cauliflower Wings,230,4 g,0.5 g,0 g,0 mg,900 mg,35 g,8 g,8 g,1 g,14 g,Serving Size 1 serving
Vegan Mac & Cheese,490,23 g,9 g,0 g,0 mg,520 mg,59 g,4 g,4 g,2 g,11 g,Serving Size 1 each
Steamed Green Peas,70,0 g,0 g,0 g,0 mg,95 mg,12 g,4 g,4 g,0 g,5 g,Serving Size 1 /2 cup
Pita Wedges,25,0 g,0 g,0 g,0 mg,70 mg,5 g,0 g,0 g,0 g,1 g,Serving Size 1 wedge
Crispy Yuca Fries,170,7 g,1 g,0 g,0 mg,190 mg,27 g,3 g,less than 1 g,0 g,0 g,Serving Size 4 each
Honey Mustard Braised Pork Butt,190,11 g,4 g,0 g,55 mg,260 mg,4 g,0 g,3 g,0 g,16 g,Serving Size 1 /2 cup
Kale with Caramelized Onions,40,2 g,0 g,0 g,0 mg,95 mg,5 g,2 g,2 g,0 g,2 g,Serving Size 1 /2 cup
Roasted Veggies,35,1.5 g,0 g,0 g,0 mg,160 mg,5 g,2 g,3 g,0 g,2 g,Serving Size 1 /2 cup
Salmon BLT,240,14 g,3 g,0 g,40 mg,510 mg,14 g,less than 1 g,1 g,less than 1 g,15 g,Serving Size 1 each
Ciabatta (1 each),130,1.5 g,0 g,0 g,0 mg,190 mg,21 g,5 g,4 g,4 g,0 g,Serving Size 1 each
Ranch Potato Chips,100,4.5 g,0.5 g,0 g,0 mg,320 mg,14 g,1 g,2 g,0 g,1 g,Serving Size 1 ozw
Egg Salad Sandwich,400,25 g,5 g,0 g,285 mg,510 mg,31 g,5 g,6 g,3 g,17 g,Serving Size 1 each
Chicken Noodle Soup (8 fl oz),110,3.5 g,0.5 g,0 g,35 mg,370 mg,13 g,1 g,2 g,0 g,8 g,Serving Size 8 fl oz
Chili Con Carne (8 fl oz),240,12 g,4.5 g,0.5 g,35 mg,370 mg,23 g,6 g,4 g,0 g,13 g,Serving Size 8 fl oz
Dinner Roll,60,0.5 g,0 g,0 g,0 mg,110 mg,11 g,0 g,1 g,1 g,2 g,Serving Size 1 roll
Turkey Chili,170,4.5 g,1 g,0 g,50 mg,210 mg,23 g,6 g,3 g,0 g,14 g,Serving Size 8 fl oz
Beyond Sausage®,250,18 g,8 g,0 g,0 mg,540 mg,6 g,3 g,0 g,0 g,17 g,Serving Size 1 each
Black Beans,160,0.5 g,0 g,0 g,0 mg,15 mg,29 g,7 g,1 g,g,10 g,Serving Size 1 /2 cup
Baked Potato,170,0 g,0 g,0 g,0 mg,10 mg,39 g,3 g,1 g,g,5 g,Serving Size 1 each
White Rice ( 1/2 cup),120,0 g,0 g,0 g,0 mg,0 mg,26 g,0 g,0 g,0 g,3 g,Serving Size 1 /2 cup
Cilantro-Lime Pulled Chicken,120,4.5 g,1 g,0 g,75 mg,190 mg,2 g,0 g,less than 1 g,0 g,16 g,Serving Size 3 ozw
Corn & Poblano Salsa,30,1 g,0 g,0 g,0 mg,45 mg,5 g,less than 1 g,1 g,0 g,1 g,Serving Size 1 fl oz
Zucchini & Yellow Squash Saute,60,5 g,0 g,0 g,0 mg,65 mg,4 g,1 g,3 g,0 g,1 g,Serving Size 1 /2 cup
