,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Total Sugars,Includes Added Sugars,Protein,Serving Size
Blueberry Mini Muffin,80,2 g,1 g,0 g,0 mg,115 mg,14 g,less than 1 g,7 g,4 g,1 g,Serving Size 1 muffin
Whole Grain Banana Mini Muffin,70,1.5 g,1 g,0 g,0 mg,95 mg,12 g,less than 1 g,6 g,3 g,1 g,Serving Size 1 muffin
Cranberry Orange Muffin,60,0.5 g,0 g,0 g,10 mg,125 mg,14 g,0 g,8 g,0 g,1 g,Serving Size 1 muffin
Iced Cinnamon Roll,220,10 g,5 g,0 g,less than 5 mg,230 mg,28 g,less than 1 g,15 g,14 g,3 g,Serving Size 1 roll
Chopped Turkey Sausage,220,10 g,5 g,0 g,less than 5 mg,230 mg,28 g,less than 1 g,15 g,14 g,3 g,Serving Size 1 roll
Diced Ham (1 ozw),35,1.5 g,0.5 g,0 g,15 mg,370 mg,less than 1 g,0 g,less than 1 g,less than 1 g,4 g,Serving Size 1 ozw
Egg Whites ( 1/4 cup),20,0 g,0 g,0 g,0 mg,70 mg,0 g,0 g,0 g,g,5 g,Serving Size 1 /4 cup
Eggs ( 1/4 cup),70,4.5 g,1.5 g,0 g,170 mg,150 mg,0 g,0 g,0 g,0 g,6 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese ( 1/4 cup),110,9 g,5 g,0 g,25 mg,180 mg,less than 1 g,0 g,0 g,0 g,6 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese (1 ozw),110,9 g,5 g,0 g,25 mg,180 mg,less than 1 g,0 g,0 g,0 g,6 g,Serving Size 1 ozw
,90,0 g,0 g,0 g,0 mg,0 mg,22 g,3 g,14 g,g,2 g,Serving Size 1 each
Carrot Cake Overnight Oats ( 1/2 cup),160,3.5 g,1 g,0 g,less than 5 mg,75 mg,29 g,4 g,15 g,5 g,8 g,Serving Size 1 /2 cup
Honey (1 tablespoon),60,0 g,0 g,g,0 mg,0 mg,18 g,0 g,17 g,g,0 g,Serving Size 1 tablespoon
Cottage Cheese ( 1/4 cup),45,1 g,0.5 g,0 g,5 mg,170 mg,3 g,0 g,2 g,less than 1 g,7 g,Serving Size 1 /4 cup
Nonfat Strawberry Greek Yogurt ( 1/2 cup),90,0 g,0 g,0 g,less than 5 mg,70 mg,13 g,less than 1 g,11 g,8 g,9 g,Serving Size 1 /2 cup
Egg & Cheddar Bagel,430,12 g,4.5 g,0 g,130 mg,800 mg,62 g,2 g,7 g,4 g,18 g,Serving Size 1 each
Turkey Bacon & Egg White Muffin,250,11 g,2.5 g,0 g,135 mg,380 mg,23 g,less than 1 g,2 g,less than 1 g,12 g,Serving Size 1 sandwich
Pancake Syrup (2 tablespoon),100,0 g,0 g,0 g,0 mg,30 mg,26 g,0 g,15 g,15 g,0 g,Serving Size 2 tablespoon
Buttermilk Pancakes,40,0 g,0 g,0 g,0 mg,120 mg,8 g,0 g,1 g,1 g,1 g,Serving Size 1 each
Golden Brown Biscuit,180,1.5 g,0 g,0 g,0 mg,320 mg,13 g,1 g,8 g,1 g,2 g,Serving Size 1 each
Spiced Breakfast Quinoa (8 fl oz),250,4.5 g,0.5 g,0 g,0 mg,105 mg,44 g,4 g,9 g,1 g,10 g,Serving Size 6 fl oz
Vegan beyond Sausage with Gravy,30,2 g,0.5 g,0 g,0 mg,55 mg,3 g,0 g,less than 1 g,less than 1 g,1 g,Serving Size 1 fl oz
Just® Scrambled Eggs,140,10 g,1 g,0 g,0 mg,380 mg,2 g,0 g,0 g,0 g,12 g,Serving Size 1 /2 cup
Cheesy Corned Beef Hash,250,18 g,9 g,1 g,45 mg,590 mg,12 g,1 g,1 g,less than 1 g,10 g,Serving Size 1 each
Southern Biscuit,190,7 g,3.5 g,0 g,0 mg,430 mg,26 g,less than 1 g,2 g,1 g,4 g,Serving Size 1 each
Turkey Bacon,60,5 g,1 g,0 g,20 mg,130 mg,less than 1 g,0 g,less than 1 g,less than 1 g,4 g,Serving Size 2 slice
Grits (6 fl oz),90,0 g,0 g,0 g,0 mg,75 mg,21 g,1 g,0 g,0 g,2 g,Serving Size 6 fl oz
Old Fashioned Oatmeal (6 fl oz),110,2 g,0 g,0 g,0 mg,5 mg,20 g,3 g,0 g,0 g,4 g,Serving Size 6 fl oz
Sausage Gravy,80,5 g,2 g,0 g,10 mg,250 mg,6 g,0 g,2 g,0 g,2 g,Serving Size 2 fl oz
Scrambled Eggs,140,9 g,3 g,0 g,365 mg,320 mg,less than 1 g,0 g,0 g,0 g,12 g,Serving Size 1 /2 cup
Crispy Tater Tots,100,6 g,1 g,0 g,0 mg,280 mg,13 g,1 g,less than 1 g,0 g,1 g,Serving Size 1 /2 cup
Chocolate Chip Muffin,390,18 g,11 g,0 g,0 mg,200 mg,45 g,4 g,34 g,9 g,3 g,Serving Size 1 muffin
Sausage & Peppers Biscuit Cup,300,10 g,3.5 g,0 g,15 mg,520 mg,22 g,1 g,14 g,1 g,5 g,Serving Size 1 each
Seasoned Home Fries,90,1 g,0 g,0 g,0 mg,105 mg,18 g,2 g,0 g,0 g,1 g,Serving Size 1 /2 cup
