,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Total Sugars,Includes Added Sugars,Protein,Serving Size
Blueberry Mini Muffin,80,2 g,1 g,0 g,0 mg,115 mg,14 g,less than 1 g,7 g,4 g,1 g,Serving Size 1 muffin
Whole Grain Banana Mini Muffin,70,1.5 g,1 g,0 g,0 mg,95 mg,12 g,less than 1 g,6 g,3 g,1 g,Serving Size 1 muffin
Cranberry Orange Muffin,60,0.5 g,0 g,0 g,10 mg,125 mg,14 g,0 g,8 g,0 g,1 g,Serving Size 1 muffin
Iced Cinnamon Roll,220,10 g,5 g,0 g,less than 5 mg,230 mg,28 g,less than 1 g,15 g,14 g,3 g,Serving Size 1 roll
Chopped Turkey Sausage,90,7 g,2 g,0 g,30 mg,280 mg,less than 1 g,0 g,0 g,0 g,7 g,Serving Size 1 patty
Diced Ham (1 ozw),35,1.5 g,0.5 g,0 g,15 mg,370 mg,less than 1 g,0 g,less than 1 g,less than 1 g,4 g,Serving Size 1 ozw
Egg Whites ( 1/4 cup),20,0 g,0 g,0 g,0 mg,70 mg,0 g,0 g,0 g,g,5 g,Serving Size 1 /4 cup
Eggs ( 1/4 cup),70,4.5 g,1.5 g,0 g,170 mg,150 mg,0 g,0 g,0 g,0 g,6 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese ( 1/4 cup),110,9 g,5 g,0 g,25 mg,180 mg,less than 1 g,0 g,0 g,0 g,6 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese (1 ozw),110,9 g,5 g,0 g,25 mg,180 mg,less than 1 g,0 g,0 g,0 g,6 g,Serving Size 1 ozw
,90,0 g,0 g,0 g,0 mg,0 mg,22 g,3 g,14 g,g,2 g,Serving Size 1 each
Carrot Cake Overnight Oats ( 1/2 cup),160,3.5 g,1 g,0 g,less than 5 mg,75 mg,29 g,4 g,15 g,5 g,8 g,Serving Size 1 /2 cup
Honey (1 tablespoon),60,0 g,0 g,g,0 mg,0 mg,18 g,0 g,17 g,g,0 g,Serving Size 1 tablespoon
Cottage Cheese ( 1/4 cup),45,1 g,0.5 g,0 g,5 mg,170 mg,3 g,0 g,2 g,less than 1 g,7 g,Serving Size 1 /4 cup
Nonfat Strawberry Greek Yogurt ( 1/2 cup),90,0 g,0 g,0 g,less than 5 mg,70 mg,13 g,less than 1 g,11 g,8 g,9 g,Serving Size 1 /2 cup
Egg & Cheddar Bagel,430,12 g,4.5 g,0 g,130 mg,800 mg,62 g,2 g,7 g,4 g,18 g,Serving Size 1 each
Turkey Bacon & Egg White Muffin,250,11 g,2.5 g,0 g,135 mg,380 mg,23 g,less than 1 g,2 g,less than 1 g,12 g,Serving Size 1 sandwich
Pancake Syrup (2 tablespoon),100,0 g,0 g,0 g,0 mg,30 mg,26 g,0 g,15 g,15 g,0 g,Serving Size 2 tablespoon
Buttermilk Pancakes,40,0 g,0 g,0 g,0 mg,120 mg,8 g,0 g,1 g,1 g,1 g,Serving Size 1 each
