,Calories,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbohydrates,Dietary Fiber,Total Sugars,Includes Added Sugars,Protein,Serving Size
Cantaloupe ( 1/2 cup),25,0 g,0 g,0 g,0 mg,10 mg,6 g,less than 1 g,6 g,g,1 g,Serving Size 1 /2 cup
Diced Pineapple ( 1/4 cup),25,0 g,0 g,0 g,0 mg,0 mg,7 g,less than 1 g,5 g,g,0 g,Serving Size 1 /4 cup
Red Grapes ( 1/4 cup),30,0 g,0 g,0 g,0 mg,0 mg,8 g,0 g,7 g,g,0 g,Serving Size 1 /4 cup
Cottage Cheese ( 1/4 cup),45,1 g,0.5 g,0 g,5 mg,170 mg,3 g,0 g,2 g,less than 1 g,7 g,Serving Size 1 /4 cup
Cottage Cheese (1 ozw),25,0 g,0 g,0 g,less than 5 mg,85 mg,2 g,0 g,1 g,0 g,3 g,Serving Size 1 ozw
,230,13 g,5 g,0 g,0 mg,390 mg,7 g,2 g,0 g,0 g,20 g,Serving Size 1 each
Guacamole (2 tablespoon),50,4.5 g,0.5 g,0 g,0 mg,135 mg,3 g,0 g,0 g,0 g,0 g,Serving Size 2 tablespoon
Salsa (1 tablespoon),0,0 g,0 g,0 g,0 mg,85 mg,less than 1 g,0 g,0 g,0 g,0 g,Serving Size 1 tablespoon
Charro Beans,80,0 g,0 g,0 g,0 mg,350 mg,15 g,4 g,1 g,0 g,5 g,Serving Size 1 /2 cup
Cilantro-Lime Pulled Chicken ( 1/4 cup),100,5 g,1.5 g,0 g,65 mg,125 mg,1 g,0 g,0 g,0 g,13 g,Serving Size 1 /4 cup
Shredded Cheddar Cheese (1 tablespoon),30,2.5 g,1.5 g,0 g,5 mg,45 mg,0 g,0 g,0 g,0 g,2 g,Serving Size 1 tablespoon
Shredded Cheddar Cheese (2 tablespoon),60,4.5 g,2.5 g,0 g,15 mg,90 mg,0 g,0 g,0 g,0 g,3 g,Serving Size 2 tablespoon
Spanish Rice,100,2 g,0 g,0 g,0 mg,70 mg,19 g,1 g,less than 1 g,0 g,2 g,Serving Size 1 /2 cup
Croutons ( 1/4 cup),60,2 g,0 g,0 g,0 mg,170 mg,9 g,0 g,less than 1 g,0 g,1 g,Serving Size 1 /4 cup
Quinoa Tabbouleh,160,8 g,1 g,0 g,0 mg,80 mg,17 g,2 g,less than 1 g,0 g,4 g,Serving Size 1 /2 cup
Balsamic Vinaigrette (2 tablespoon),60,5 g,0.5 g,0 g,0 mg,200 mg,5 g,0 g,4 g,4 g,0 g,Serving Size 2 tablespoon
Creamy Caesar Dressing (2 tablespoon),140,15 g,2.5 g,0 g,0 mg,270 mg,less than 1 g,0 g,0 g,0 g,1 g,Serving Size 2 tablespoon
Harissa Roasted Vegetables ( 1/2 cup),70,2 g,0 g,0 g,0 mg,220 mg,12 g,4 g,5 g,0 g,3 g,Serving Size 1 /2 cup
Ranch Dressing (2 tablespoon),100,11 g,1.5 g,0 g,10 mg,250 mg,less than 1 g,0 g,less than 1 g,0 g,0 g,Serving Size 2 tablespoon
Baby Spinach (1 cup),10,0 g,0 g,0 g,0 mg,35 mg,2 g,less than 1 g,0 g,g,1 g,Serving Size 1 cup
Black Olives ( 1/4 cup),45,4 g,0.5 g,0 g,0 mg,280 mg,2 g,1 g,0 g,0 g,0 g,Serving Size 1 /4 cup
Grape Tomatoes ( 1/2 cup),15,0 g,0 g,0 g,0 mg,0 mg,3 g,1 g,2 g,g,1 g,Serving Size 1 /2 cup
Shredded Carrots ( 1/4 cup),15,0 g,0 g,0 g,0 mg,25 mg,3 g,less than 1 g,2 g,g,0 g,Serving Size 1 /4 cup
Bacon Pieces ( 1/2 ozw),70,6 g,2 g,0 g,15 mg,260 mg,less than 1 g,0 g,less than 1 g,less than 1 g,5 g,Serving Size 1 /2 ozw
Chopped Hard-Cooked Egg (1 ozw),45,3 g,1 g,0 g,105 mg,35 mg,0 g,0 g,0 g,0 g,4 g,Serving Size 1 ozw
Diced Chicken ( 1/4 cup),45,1 g,0 g,0 g,25 mg,50 mg,0 g,0 g,0 g,0 g,8 g,Serving Size 1 /4 cup
Garbanzo Beans ( 1/4 cup),70,1 g,0 g,0 g,0 mg,50 mg,11 g,2 g,0 g,0 g,4 g,Serving Size 1 /4 cup
